plant_name,
Withania somnifera,166
Salvia miltiorrhiza,39
Moringa oleifera,97
Panax ginseng,55
Catharanthus roseus,1663
Andrographis paniculata,62
Cannabis sativa,47
Centella asiatica,74
Nigella sativa,194
Aloe vera,361
Hypericum perforatum,57
Artemisia annua,20
Ocimum basilicum,22
Panax notoginseng,37
Curcuma longa,197
Salvia officinalis,52
Melissa officinalis,66
Momordica charantia,35
Azadirachta indica,65
Stevia rebaudiana,15
Dendrobium officinale,3
Bacopa monnieri,52
Ginkgo biloba,175
Silybum marianum,39
Zingiber officinale,171
Salvia rosmarinus,2
Glycyrrhiza glabra,118
Ocimum tenuiflorum,4
Tinospora cordifolia,108
Thymus vulgaris,21
Scutellaria baicalensis,14
Calotropis procera,12
Glycyrrhiza uralensis,8
Anethum foeniculum,0
Allium sativum,42
Echinacea purpurea,26
Origanum vulgare,10
Crocus sativus,55
Astragalus membranaceus,31
Gymnema sylvestre,34
Mentha x piperita,2
Rehmannia glutinosa,12
Lonicera japonica,3
Paris polyphylla,1
Picrorhiza kurrooa,0
Allium cepa,20
Camellia sinensis,34
Cyclocarya paliurus,3
Emblica officinalis,94
Angelica sinensis,15
Coriandrum sativum,31
Eucommia ulmoides,10
Matricaria chamomilla,39
Plectranthus barbatus,0
Valeriana jatamansi,0
Cymbopogon citratus,13
Peganum harmala,17
Perilla frutescens,14
Portulaca oleracea,39
Urtica dioica,39
Justicia adhatoda,10
Matricaria chamomilla var. recutita,0
Murraya koenigii,12
Zanthoxylum armatum,6
Aegle marmelos,20
Gastrodia elata,4
Houttuynia cordata,4
Solanum nigrum,13
Calendula officinalis,27
Psidium guajava,17
Trachyspermum ammi,45
Nelumbo nucifera,14
Zataria multiflora,57
Lavandula angustifolia,37
Morus alba,24
Rhodiola rosea,26
Schisandra chinensis,9
Acorus calamus,36
Clitoria ternatea,12
Morinda citrifolia,6
Myrtus communis,45
Plantago ovata,25
Punica granatum,73
Vitex negundo,21
Capparis spinosa,14
Citrullus colocynthis,18
Hibiscus sabdariffa,30
Lantana camara,0
Lessertia frutescens,2
Lycium barbarum,17
Mentha arvensis,12
Syzygium cumini,16
Teucrium polium,16
Annona muricata,0
Cuminum cyminum,0
Gymnanthemum amygdalinum,0
Hippophae rhamnoides,11
Mucuna pruriens,22
Swertia chirayita,0
Tetrastigma hemsleyanum,0